id,name,dir,county,town,latitude and longitude,loc
227,435藝文特區,"25°01'28.1""N 121°27'02.3""E",新北市,板橋區,"25.024476, 121.450634",　
228,台灣玩具博物館,"25°01'26.5""N 121°27'06.5""E",新北市,板橋區,"25.024022, 121.451803",　
229,新月橋,"25°01'27.5""N 121°27'00.8""E",新北市,板橋區,"25.024312, 121.450207",新北市板橋區環河西路五段
230,水牛坑,"25°07'11.5""N 121°19'07.8""E",新北市,林口區,"25.119856, 121.318826",新北市林口區西部濱海公路625號
231,金包里老街,"25°13'18.6""N 121°38'17.8""E",新北市,金山區,"25.221828, 121.638268",新北市楊梅區老莊路112 號
232,八煙聚落,"25°11'22.3""N 121°35'19.5""E",新北市,金山區,"25.189523, 121.588754",　
233,燭台雙嶼,"25°13'48.4""N 121°39'05.2""E",新北市,金山區,"25.230120, 121.651452",新北市金山區磺港路 11號
234,烏來風光,"24°51'51.3""N 121°33'05.7""E",新北市,烏來區,"24.864236, 121.551579",新北市烏來區烏來街8號
235,內洞森林,"24°49'51.9""N 121°31'40.0""E",新北市,烏來區,"24.831093, 121.527767",新北市烏來區內洞國家森林遊樂區觀瀑步道
236,三貂角,"25°00'34.5""N 122°00'12.7""E",新北市,貢寮區,"25.009577, 122.003523",新北市貢寮區馬崗街
237,福隆海水浴場,"25°01'18.2""N 121°56'39.2""E",新北市,貢寮區,"25.021725, 121.944220",新北市貢寮區福隆街42號
238,草嶺古道,"24°59'59.5""N 121°55'46.4""E",新北市,貢寮區,"24.999872, 121.929546",　
239,龍洞灣,"25°07'04.4""N 121°54'59.6""E",新北市,貢寮區,"25.117876, 121.916553",新北市贡寮区
240,卯澳風情,"25°00'44.3""N 121°59'28.2""E",新北市,貢寮區,"25.012295, 121.991152",新北市貢寮區卯澳漁港
241,淡水風情,"25°10'15.9""N 121°26'18.7""E",新北市,淡水區,"25.171077, 121.438533",新北市淡水區中正路11巷46-8
242,金色水岸,"25°10'04.4""N 121°26'37.5""E",新北市,淡水區,"25.167899, 121.443746",新北市淡水區公明街76
243,淡水文化園區,"25°09'57.3""N 121°26'49.2""E",新北市,淡水區,"25.165907, 121.446994",新北市淡水區幸福里
244,海關碼頭園區,"25°10'29.4""N 121°25'53.4""E",新北市,淡水區,"25.174836, 121.431503",新北市淡水區中正路261號旁
245,滴水紀念館,"25°10'41.7""N 121°25'50.8""E",新北市,淡水區,"25.178255, 121.430783",　
246,淡水情人塔,"25°10'54.6""N 121°24'57.8""E",新北市,淡水區,"25.181828, 121.416059",新北市淡水區觀海路
247,淡水情人橋,"25°10'59.3""N 121°24'39.0""E",新北市,淡水區,"25.183139, 121.410823",　
248,淡水天元宮,"25°11'11.5""N 121°29'01.3""E",新北市,淡水區,"25.186532, 121.483706",　
249,淡水賞紫藤,"25°14'08.8""N 121°27'30.6""E",新北市,淡水區,"25.235773, 121.458496",新北市淡水區北5鄉道淡水德安居古厝
250,滬尾砲台,"25°11'04.0""N 121°25'37.8""E",新北市,淡水區,"25.184441, 121.427158",新北市淡水區沙崙路216巷
251,淡水紅毛城,"25°10'30.1""N 121°25'55.3""E",新北市,淡水區,"25.175034, 121.432036",新北市淡水区中正路30巷1號
252,深坑老街,"25°00'05.3""N 121°36'51.0""E",新北市,深坑區,"25.001473, 121.614158",台北市深坑區老泉街31巷45弄78號
253,碧潭,"24°57'21.7""N 121°32'11.5""E",新北市,新店區,"24.956025, 121.536523",　
254,燕子湖,"24°54'42.7""N 121°32'56.3""E",新北市,新店區,"24.911867, 121.548963",新北市新店區燕子湖
255,青立方,"24°57'38.7""N 121°34'51.9""E",新北市,新店區,"24.960761, 121.581072",新北市新店區銀河路98號
256,陽光運動公園,"24°58'36.9""N 121°31'13.3""E",新北市,新店區,"24.976914, 121.520366",新北市新店區運動場
257,山城九份,"25°06'35.7""N 121°50'42.7""E",新北市,瑞芳區,"25.109925, 121.845183",新北市瑞芳區汽車路九份街角小吃
258,象鼻岩,"25°08'08.5""N 121°49'27.7""E",新北市,瑞芳區,"25.135687, 121.824367",　
259,番仔澳風光,"25°08'06.1""N 121°49'19.4""E",新北市,瑞芳區,"25.135034, 121.822064",新北市瑞芳區深澳路189-5號
260,金瓜石風光,"25°06'27.3""N 121°51'28.4""E",新北市,瑞芳區,"25.107586, 121.857877",新北市瑞芳區金光路8號
261,南雅奇岩,"25°07'10.6""N 121°53'34.0""E",新北市,瑞芳區,"25.119623, 121.892782",　
262,鼻頭角海岸,"25°07'39.8""N 121°55'10.8""E",新北市,瑞芳區,"25.127709, 121.919668",　
263,悠遊水金九,"25°06'33.1""N 121°50'39.9""E",新北市,瑞芳區,"25.109180, 121.844421",新北市瑞芳區輕便路270號
264,猴洞貓村,"25°05'21.6""N 121°49'37.4""E",新北市,瑞芳區,"25.089324, 121.827062",新北市瑞芳區光復里
265,猴硐風光,"25°05'08.2""N 121°49'41.3""E",新北市,瑞芳區,"25.085600, 121.828150",新北市瑞芳區運煤橋
266,星空草原,"25°06'38.0""N 121°45'16.2""E",新北市,瑞芳區,"25.110543, 121.754498",新北市仁愛區中央路48巷
267,黃金瀑布,"25°07'01.8""N 121°51'41.4""E",新北市,瑞芳區,"25.117176, 121.861489",新北市瑞芳區金水公路黃金瀑布
268,龜吼漁港,"25°11'45.0""N 121°41'10.7""E",新北市,萬里區,"25.195843, 121.686314",新北市萬里區龜吼漁港
269,野柳風光,"25°12'19.9""N 121°41'23.9""E",新北市,萬里區,"25.205524, 121.689969",新北市萬里區野柳里
270,三鶯藝術村,"24°57'12.7""N 121°21'29.5""E",新北市,鶯歌區,"24.953534, 121.358199",新北市鶯歌區館前路300號
271,鶯歌陶瓷,"24°56'54.8""N 121°21'02.4""E",新北市,鶯歌區,"24.948548, 121.350672",新北市鶯歌區文化路200號
272,彩虹殿堂,　,新北市,　,　,　
273,佔地廣大的淡水古蹟園區,　
274,一滴水紀念館(和平公園),"25°10'41.70"",121°25'50.81""",新北市,淡水區,"25.178250, 121.430778", 淡水區中正路1段6巷30號
275,淡水漁人碼頭,"25°11'2.54"",121°24'42.26""",新北市,淡水區,"25.184028, 121.411750",新北市淡水區沙崙里第2漁港
276,淡水白樓紅樓、偕醫館,"25°10'16.43"",121°26'21.66""",新北市,淡水區,"25.171222, 121.439361",新北市淡水區三民街2巷6號3樓
277,淡水福佑宮,"25°10'13.12"",121°26'23.78""",新北市,淡水區,"25.170306, 121.439944",新北市淡水區民安里中正路200號
278,淡水老街,"25°10'17.54"",121°26'28.64""",新北市,淡水區,"25.171528, 121.441278",新北市淡水區中正路、重建街、清水
279,淡水捷運站,"25°10'2.42"",121°26'42.65""",新北市,淡水區,"25.167333, 121.445194",新北市淡水區中正路
280,新店、烏來享受森林芬多精,　
281,碧潭風景區,"24°57'22.00"",121°32'11.40""",新北市,新店區,"24.956111, 121.536500",新北市新店區新店路
282,燕子湖,"24°54'42.88"",121°32'56.22""",新北市,新店區,"24.911917, 121.548944",新北市新店區新店溪上流
283,新烏公路風景線(洪荒峽、紅河谷),"24°53'4.85"",121°32'25.33""",新北市,烏來區,"24.884694, 121.540361",新北市烏來區新烏路(台9甲線)
284,烏來風景特定區(烏來溫泉、烏來商店街) ,"24°51'48.85"",121°33'1.04""",新北市,烏來區,"24.863583, 121.550278",新北市烏來區烏來里瀑布34號
285,烏來風景特定區(烏來瀑布),"24°50'50.86"",121°33'7.02""",新北市,烏來區,"24.847472, 121.551944",新北市烏來區瀑布路(遊客中心旁)
286,內洞國家森林遊區,"24°50'22.78"",121°31'41.34""",新北市,烏來區,"24.839667, 121.528139",新北市烏來區信賢里
287,板橋、土城、三鶯走透透,　
288,土城承天禪寺,"24°57'1.66"",121°26'48.26""",新北市,土城區,"24.950472, 121.446750",新北市土城區承天路96號
289,土城牛軋糖博物館,"24°58'22.22"",121°25'57.54""",新北市,土城區,"24.972833, 121.432639",新北市土城區自強街31-1號
290,大觀義學(大觀書社),"25°0'40.14"",121°27'21.20""",新北市,板橋區,"25.011139, 121.455889",新北市板橋區黃石里西門街5號
291,板橋林家花園,"25°0'37.73"",121°27'14.62""",新北市,板橋區,"25.010472, 121.454056",新北市板橋區流芳里西門街9號
292,板橋觀光夜市/南雅夜市,"25°0'22.72"",121°27'15.59""",新北市,板橋區,"25.006306, 121.454333",新北市板橋區南雅東路南雅南路一段
293,三峽清水祖師廟,"24°56'2.40"",121°22'12.90""",新北市,三峽區,"24.934000, 121.370250",新北市三峽區秀川里長福街1號
294,三峽民權老街,"24°56'7.58"",121°22'13.91""",新北市,三峽區,"24.935444, 121.370528",新北市三峽區民權街、和平街、仁愛街
295,鶯歌陶瓷博物館,"24°56'54.82"",121°21'2.48""",新北市,鶯歌區,"24.948556, 121.350694",新北市鶯歌區文化路200號
296,鶯歌陶瓷老街,"24°57'8.50"",121°20'52.19""",新北市,鶯歌區,"24.952361, 121.347833",新北市鶯歌區文化路、尖山埔路
297,台北陽明山賞楓秘境,　
298,草山行館,"25°9'15.66"",121°32'17.23""",台北市,北投區,"25.154361, 121.538111",台北市北投區湖山里湖底路89號
299,橫嶺古道,"25°9'5.82""N 121°32'26.82""E",台北市,北投區,"25.151611, 121.540778",　
300,陽明山國家公園 ,"25°9'19.48"",121°32'47.76""",台北市,北投區,"25.155417, 121.546611",台北市北投區
301,士林觀光夜市(士林夜市),"25°5'20.22"",121°31'27.91""",台北市,士林區,"25.088944, 121.524417",台北市士林區大東路、大南路、文林路、基河路範圍內巷
302,北投溫泉,"25°8'13.27"",121°30'30.74""",台北市,北投區,"25.137028, 121.508528",台北市北投區
303,北投溫泉博物館,"25°8'12.26"",121°30'25.52""",台北市,北投區,"25.136750, 121.507083",台北市北投區中山路2號
304,地熱谷(地熱谷景觀公園),"25°8'15.94"",121°30'41.69""",台北市,北投區,"25.137750, 121.511583",台北市北投區中山路
305,台北觀光夜市, ,台北市, , ,　
306,台北旅遊。玩遍基隆、水金九山城,　
307,金瓜石,"25°6'3.28"",121°51'16.06""",新北市,瑞芳區,"25.100917, 121.854472",新北市瑞芳區
308,黃金博物園區,"25°6'28.94"",121°51'28.58""",新北市,瑞芳區,"25.108028, 121.857944",新北市瑞芳區金爪石金光路8號
309,九份老街,"25°6'35.68"",121°50'42.79""",新北市,瑞芳區,"25.109917, 121.845222",新北市瑞芳區豎崎路、輕便路、基山街等區域
310,獅球嶺隧道(劉銘傳隧道),"25°7'30.90"",121°43'54.23""",基隆市,安樂區,"25.125250, 121.731722",基隆市安樂區鶯歌里八德路81號
311,陽明海洋文化藝術館,"25°7'57.72"",121°44'23.96""",基隆市,仁愛區,"25.132694, 121.740000",基隆市仁愛區港西街4號
312,基隆港,"25°8'15.86"",121°44'57.91""",基隆市,中正區,"25.137750, 121.749417",基隆市中正區
313,基隆廟口夜市,"25°7'41.41"",121°44'36.56""",基隆市,仁愛區,"25.128167, 121.743500",基隆市仁愛區仁三路和愛四路
314,新北市精選兩天一夜,　
315,大黑松小倆口牛軋糖博物館,"24°58'22.44"",121°25'57.54""",新北市,土城區,"24.972889, 121.432639",新北市土城區自強街31-1號
316,林家花園(林本源園邸) ,"25°0'37.87"",121°27'14.65""",新北市,板橋區,"25.010528, 121.454083",新北市板橋區流芳里西門街9號
317,碧潭風景區,"24°57'22.00"",121°32'11.40""",新北市,新店區,"24.956111, 121.536500",新北市新店區新店路
318,烏來溫泉,"24°51'48.85"",121°33'1.04""",新北市,烏來區,"24.863583, 121.550278",新北市烏來區烏來街、溫泉街與環山路一帶
319,烏來風景特定區 ,"24°51'48.85"",121°33'1.04""",新北市,烏來區,"24.863583, 121.550278",　
320,烏來瀑布,"24°50'50.86"",121°33'7.02""",新北市,烏來區,"24.847472, 121.551944",　
321,內洞國家森林遊樂區,"24°50'22.78"",121°31'41.34""",新北市,烏來區,"24.839667, 121.528139",　
322,和風北投 台灣最美 溫泉鄉,"25°6'55.94"",121°30'56.41""",新北市,北投區,"25.115528, 121.515667",台北市北投區振華里
323,台北縣 平溪放天燈 保平安,"25°1'34.10"",121°44'19.97""",新北市,平溪區,"25.026139, 121.738889",新北市平溪區
324,十分老街,"25°2'33.79"",121°46'36.05""",新北市,平溪區,"25.042722, 121.776694",新北市平溪區十分街
325,十分瀑布,"25°2'56.47"",121°47'14.86""",新北市,平溪區,"25.049028, 121.787472",　
326,平溪,"25°1'31.48"",121°44'25.19""",新北市,平溪區,"25.025417, 121.740333",新北市平溪區嶺腳里
327,台北烏來 森林浴泡湯訪泰雅情,"24°50'58.31"",121°33'0.72""",新北市,烏來區,"4.849528, 121.550194",3新北市烏來區瀑布公園停車場
328,紅毛城,"25°10'30.11"",121°25'55.31""",新北市,淡水区,"25.175028, 121.432028",新北市淡水区中正路30巷1號
329,野柳,"25°12'17.21"",121°41'26.05""",新北市,萬里區,"25.204778, 121.690583",新北市萬里區港東路167-3號
330,陽明山 賞櫻觀夜景,"25°11'19.82"",121°34'9.77""",新北市,士林區,"25.188833, 121.569389",台北市士林區菁山里
331,龍洞攀岩 一縫一步一景色,"25°6'43.85"",121°55'19.63""",新北市,貢寮區,"25.112194, 121.922111",新北市貢寮區龍洞岩場
332,南寮地中海,"24°50'55.4""N 120°55'45.3""E",新竹市,北區,"24.848720, 120.929257",新竹市北區南寮街241
333,竹塹古城,"24°48'15.0""N 120°58'12.9""E",新竹市,北區,"24.804164, 120.970246",新竹市北區東門圓環竹塹城迎曦門
334,新竹眷村博物館,"24°48'50.4""N 120°58'01.3""E",新竹市,北區,"24.813988, 120.967013",新竹市北區122縣道131-105
335,幾米廣場,"24°48'08.6""N 120°58'15.3""E",新竹市,東區,"24.802375, 120.970910",新竹市東區林森路18號幾米廣場
336,十八尖山,"24°47'30.2""N 120°59'07.8""E",新竹市,東區,"24.791713, 120.985509",新竹市東區寶山路145巷38號十八尖山
337,清泉風光,"24°34'33.0""N 121°06'16.6""E ",新竹縣,五峰鄉," 24.575830, 121.104621",新竹縣五峰鄉桃山村
338,張學良文化園區,"24°34'33.9""N 121°06'14.2""E",新竹縣,五峰鄉,"24.576074, 121.103956",新竹縣五峰鄉原住民族館
339,三毛夢烏清泉天主堂,"24°34'27.6""N 121°06'20.7""E",新竹縣,五峰鄉,"24.574319, 121.105736",新竹縣五峰鄉16鄰清泉262號
340,北埔古蹟,"24°41'59.6""N 121°03'25.9""E",新竹縣,北埔鄉,"24.699882, 121.057205",新竹縣北埔鄉南興街122-94
341,北埔老街,"24°42'05.9""N 121°03'27.0""E",新竹縣,北埔鄉,"24.701625, 121.057505",新竹縣北埔鄉南興街152-144
342,六家庄,"24°49'03.4""N 121°01'33.3""E",新竹縣,竹北市,"24.817616, 121.025921",新竹縣竹北市福興東路一段365號
343,竹北新瓦屋,"24°48'40.9""N 121°01'39.3""E",新竹縣,竹北市,"24.811365, 121.027583",　
344,軟橋彩繪村,"24°41'43.7""N 121°05'50.9""E",新竹縣,竹東鎮,"24.695460, 121.097479",　
345,新竹米粉寮,"24°45'14.3""N 120°56'24.8""E",新竹縣,香山區,"24.753983, 120.940218",新竹市香山區新竹市香山區米粉寮
346,十二寮天主堂,"24°40'21.6""N 120°59'02.0""E",新竹縣,峨眉鄉,"24.672671, 120.983899",新竹縣峨眉鄉竹49鄉道
347,九降風柿餅,"24°49'14.4""N 121°05'39.9""E",新竹縣,新埔鎮,"24.820667, 121.094408",新竹縣新埔鎮新關路五埔段657巷49弄11號
348,內灣風光,"24°42'21.2""N 121°10'54.4""E",新竹縣,橫山鄉,"24.705876, 121.181764",新竹縣橫山鄉光復路8號
349,六福村,"24°49'16.3""N 121°10'54.5""E",新竹縣,關西鎮,"24.821205, 121.181797",新竹縣關西鎮60號
350,小熊博物館,"24°47'18.8""N 121°11'01.3""E",新竹縣,關西鎮,"24.788564, 121.183706",新竹縣關西鎮中山東路9號
351,東安古橋,"24°47'27.1""N 121°10'47.4""E",新竹縣,關西鎮,"24.790873, 121.179821",　
352,內灣老街 客家庄的往日情懷,　
353,內灣老街,"24°42'21.06"",121°10'54.41""",新竹縣,橫山鄉,"24.705861, 121.181778",新竹縣橫山鄉內灣村中正路
354,內灣戲院,"24°42'19.44"",121°10'52.82""",新竹縣,橫山鄉,"24.705389, 121.181333",新竹縣橫山鄉內灣村中正路227號
355,內灣車站,"24°42'19.58"",121°10'56.89""",新竹縣,橫山鄉,"24.705444, 121.182472",新竹縣橫山鄉內灣村中正路
356,內灣吊橋,"24°42'11.81"",121°11'1.00""",新竹縣,橫山鄉,"24.703278, 121.183611",新竹縣橫山鄉內灣村之東方
357,綠世界生態農場,"24°41'53.95"",121°4'16.14""",新竹縣,北埔鄉,"24.698333, 121.071139",新竹縣北埔鄉大湖村7鄰20號
358,北埔老街,"24°42'6.77"",121°3'27.04""",新竹縣,北埔鄉,"24.701889, 121.057500",新竹縣北埔鄉中山路20號
359,寒假泡暖湯。泰安溫泉美人湯,　
360,綠世界生態農場,"24°41'53.95"",121°4'16.14""",新竹縣,北埔鄉,"24.698333, 121.071139",新竹縣北埔鄉大湖村7鄰20號
361,汶水老街,"24°27'23.40"",120°52'35.26""",苗栗縣,獅潭鄉,"24.456500, 120.876472",苗栗縣獅潭鄉竹木村汶水老街
362,泰安溫泉,"24°28'16.75"",120°58'38.10""",苗栗縣,泰安鄉,"24.471333, 120.977250",苗栗縣泰安鄉錦水村
363,雪見遊憩區,"24°25'29.06""N 121°0'47.97""E",苗栗縣,泰安鄉,"24.424750, 121.013333",苗栗縣泰安鄉梅園村7鄰雪見10號
364,漫步在雲端 雪霸休閒農場,　,新竹縣,　,　,　
365,觀霧國家森林遊樂區,"24°30'21.60"",121°6'50.94""",苗栗縣,泰安鄉,"24.506000, 121.114139",苗栗縣泰安鄉
366,雪霸休閒農場,"24°31'35.08"",121°7'4.48""",新竹縣,五峰鄉,"24.526417, 121.117917",新竹縣五峰鄉桃山村民石380-1號
367,野馬瞰山步道,"24°31'40.35""N 121°7'1.80""E",新竹縣,五峰鄉,"24.527889, 121.117167",新竹縣五峰鄉桃山村民石380號
368,張學良故居 ,"24°34'33.75""N 121°6'15.09""E",新竹縣,五峰鄉,"24.576056, 121.104194",新竹縣五峰鄉清泉部落
369,三毛故居,"24°34'26.35""N 121°6'21.13""E",新竹縣,五峰鄉,"24.574000, 121.105861",新竹縣五峰鄉清泉262號
370,內灣老街,"24°42'21.06"",121°10'54.41""",新竹縣,橫山鄉,"24.705861, 121.181778",新竹縣橫山鄉內灣村中正路
371,戀人未滿，浪漫冒險之旅讓愛情迅速萌芽,　
372,湖口老街 ,"24°52'37.74"",121°3'25.13""",新竹縣,湖口鄉,"24.877139, 121.056972",新竹縣湖口鄉湖口街
373,馬武督探索森林,"24°46'8.18"",121°16'52.00""",新竹縣,關西鎮,"24.768944, 121.281111",新竹縣關西鎮錦山里12鄰138-3號
374,關西蝙蝠洞 ,"24°46'5.09"",121°13'27.23""",新竹縣,關西鎮,"24.768083, 121.224222",新竹縣關西鎮六曲窩道路
375,鴛鴦谷瀑布群,"24°45'2.41"",121°17'5.50""",新竹縣,尖石鄉,"24.750667, 121.284861",新竹縣尖石鄉水田道路
376,桃源仙谷,"24°47'16.01"",121°16'42.82""",桃園市,復興區,"24.787778, 121.278556",桃園市復興區長興村上高遶8鄰5號
377,小烏來風景特定區,"24°47'36.64"",121°22'31.51""",桃園市,復興區,"24.793500, 121.375417",桃園市復興區義盛村興溪道路
378,小人國主題樂園,"24°49'55.52"",121°11'9.78""",桃園市,龍潭區,"24.832083, 121.186056",桃園市龍潭區高原村橫岡下60-2號
379,新竹精選兩天一夜(一),　
380,綠世界生態農場,"24°41'53.63"",121°4'16.10""",新竹縣,北埔鄉,"24.698222, 121.071139",新竹縣北埔鄉大湖村7鄰20號
381,北埔 ,"24°42'6.26"",121°3'27.07""",新竹縣,北埔鄉,"24.701750, 121.057528",新竹縣北埔鄉中山路20號
382,新竹孔廟 ,"24°48'0.83"",120°58'41.48""",新竹市,東區,"24.800222, 120.978194",新竹市東區公園路289號
383,新竹都城隍廟,"24°48'15.48"",120°57'58.14""",新竹市,北區,"24.804306, 120.966139",新竹市北區中山里中山路75號
384,竹塹城迎曦門,"24°48'15.19"",120°58'12.90""",新竹市,北區,"24.804222, 120.970250",新竹市北區中山里中正路75號
385,十七公里海岸風景區,"24°50'47.83"",120°55'33.20""",新竹市,北區,"24.846611, 120.925889",新竹市北區北起南寮，南至南港
386,新竹精選兩天一夜(二),　
387,六福村主題遊樂園 ,"24°49'32.38"",121°10'50.05""",新竹縣,關西鎮,"24.825667, 121.180583",新竹縣關西鎮仁安里拱子溝60號
388,新竹都城隍廟,"24°48'15.48"",120°57'58.14""",新竹市,北區,"24.804306, 120.966139",新竹市北區中山里中山路75號
389,竹塹城迎曦門,"24°48'15.19"",120°58'12.90""",新竹市,北區,"24.804222, 120.970250",新竹市北區中山里中正路75號
390,十七公里海岸風景區,"24°50'47.83"",120°55'33.20""",新竹市,北區,"24.846611, 120.925889",新竹市北區北起南寮，南至南港
391,新竹司馬庫斯 覽巨木群訪部落,"24°34'43.46"",121°20'4.06""",新竹市,尖石鄉,"24.578750, 121.334472",新竹縣尖石鄉玉峰村14鄰
392,新竹尖石 巨岩山林攬悠閒,"24°34'28.38"",121°18'31.82""",新竹縣,尖石鄉,"24.574556, 121.308833",　
393,三星蔥鄉,"24°40'05.4""N 121°39'08.5""E",宜蘭縣,三星鄉,"24.668170, 121.652364",宜蘭縣三星鄉中山路31-27
394,天送埤車站,"24°39'45.1""N 121°37'11.1""E",宜蘭縣,三星鄉,"24.662540, 121.619757",宜蘭縣三星鄉福山街福山橫巷31-27
395,宜蘭太平山,"24°29'39.3""N 121°32'05.8""E",宜蘭縣,大同鄉,"24.494252, 121.534936",宜蘭縣大同鄉太平巷58之1號
396,宜蘭明池,"24°39'03.3""N 121°28'17.4""E",宜蘭縣,大同鄉,"24.650922, 121.471506",宜蘭縣大同鄉明池
397,蘭陽田園,"24°34'53.7""N 121°36'17.9""E",宜蘭縣,大同鄉,"24.581583, 121.604962",宜蘭縣大同鄉樂水村
398,冬山河公園,"24°40'13.6""N 121°48'45.8""E",宜蘭縣,五結鄉,"24.670453, 121.812716",　
399,宜蘭傳藝中心,"24°41'11.5""N 121°49'30.0""E",宜蘭縣,五結鄉,"24.686536, 121.824998",　
400,冬山車站,"24°38'12.4""N 121°47'31.3""E",宜蘭縣,冬山鄉,"24.636764, 121.792023",宜蘭縣冬山鄉中正路1號
401,幸福轉運站,"24°45'06.3""N 121°45'22.3""E",宜蘭縣,宜蘭市,"24.751750, 121.756194",宜蘭縣宜蘭市宜興路一段117號
402,九芎埕舊驛,"24°45'19.5""N 121°44'59.6""E",宜蘭縣,宜蘭市,"24.755417, 121.749889",宜蘭縣宜蘭市舊城南路
403,宜蘭文學館,"24°45'18.3""N 121°44'58.0""E",宜蘭縣,宜蘭市,"24.755083, 121.749444",宜蘭縣宜蘭市19號
404,望龍埤,"24°46'37.0""N 121°41'57.1""E",宜蘭縣,員山鄉,"24.776944, 121.699194",宜蘭縣員山鄉望龍埤停車場一
405,福山植物園,"24°45'23.3""N 121°35'40.7""E",宜蘭縣,員山鄉,"24.756472, 121.594639",　
406,烏石港,"24°52'14.3""N 121°50'07.4""E",宜蘭縣,頭城鎮,"24.870639, 121.835389",　
407,蘭陽博物館,"24°52'07.2""N 121°49'57.9""E",宜蘭縣,頭城鎮,"24.868667, 121.832750",宜蘭縣頭城鎮青雲路三段
408,登遊龜山島,"24°50'33.5""N 121°57'00.1""E",宜蘭縣,頭城鎮,"24.842639, 121.950028",　
409,頭城老街,"24°51'25.1""N 121°49'27.0""E",宜蘭縣,頭城鎮,"24.856972, 121.824167",宜蘭縣頭城鎮和平街頭城老街
410,北關海潮,"24°54'44.9""N 121°52'39.1""E",宜蘭縣,頭城鎮,"24.912458, 121.877518",宜蘭縣頭城鎮台灣刺桐
411,五峰旗瀑布,"24°50'03.2""N 121°44'49.2""E",宜蘭縣,礁溪鄉,"24.834229, 121.747007",　
412,礁溪溫泉,"24°49'50.3""N 121°46'36.9""E",宜蘭縣,礁溪鄉,"24.830643, 121.776906",宜蘭縣礁溪鄉國父紀念碑
413,羅東運動公園,"24°40'58.5""N 121°45'11.5""E",宜蘭縣,羅東鎮,"24.682921, 121.753198",宜蘭縣羅東鎮北成里
414,南方澳,"24°35'13.7""N 121°52'11.6""E",宜蘭縣,蘇澳鎮,"24.587136, 121.869876",宜蘭縣蘇澳鎮跨港路156號
415,蘇澳冷泉,"24°35'58.3""N 121°50'57.8""E",宜蘭縣,蘇澳鎮,"24.599533, 121.849380",宜蘭縣蘇澳鎮蘇澳冷泉停車場
416,南澳鄉野風情,"24°27'48.3""N 121°48'03.7""E",宜蘭縣,蘇澳鎮,"24.463412, 121.801018",宜蘭縣蘇澳鎮南強里
417,粉鳥林秘境海灘,"24°29'49.0""N 121°50'31.3""E",宜蘭縣,蘇澳鎮,"24.496941, 121.842031",　
418,宜蘭二日遊：文青也要吃好吃飽,　
419,清水地熱 ,"24°36'43.49"",121°38'10.68""",宜蘭縣,大同鄉,"24.612083, 121.636306",宜蘭縣大同鄉清水村
420,天送埤車站 ,"24°39'45.29"",121°37'11.14""",宜蘭縣,三星鄉,"24.662583, 121.619750",宜蘭縣三星鄉福山街福山橫巷27-41號
421,三星青蔥文化館,"24°40'5.59"",121°39'8.53""",宜蘭縣,三星鄉,"24.668222, 121.652361",宜蘭縣三星鄉義德村中山路31號
422,羅東運動公園,"24°40'56.06"",121°45'26.57""",宜蘭縣,羅東鎮,"24.682250, 121.757389",宜蘭縣羅東鎮公正路666號
423,梅花湖風景區 ,"24°38'42.29"",121°43'51.49""",宜蘭縣,冬山鄉,"24.645083, 121.730972",宜蘭縣冬山鄉得安村環湖路1號
424,羅東夜市,"24°40'37.24"",121°46'4.69""",宜蘭縣,羅東鎮,"24.677000, 121.767972",宜蘭縣羅東鎮民生路、民權路、公園
425,國立傳統藝術中心,"24°41'11.87"",121°49'30.18""",宜蘭縣,宜蘭市,"24.686639, 121.825056",宜蘭縣五結鄉五濱路二段201號
426,幾米主題廣場,"24°45'8.64"",121°45'24.55""",宜蘭縣,宜蘭市,"24.752389, 121.756833",宜蘭縣宜蘭市和睦里光復路1號
427,宜蘭設治紀念館,"24°45'19.37"",121°44'58.38""",宜蘭縣,宜蘭市,"24.755389, 121.749556",宜蘭縣宜蘭市舊城南路力行3巷3號
428,宜蘭文學館,"24°45'18.47"",121°44'58.06""",宜蘭縣,宜蘭市,"24.755139, 121.749472",宜蘭縣宜蘭市舊城南路縣府二巷19號
429,宜蘭賞桐綠博之旅,　
430,林美石磐步道,"24°49'21.29"",121°44'8.16""",宜蘭縣,礁溪鄉,"24.822583, 121.735611",宜蘭縣礁溪鄉林美村
431,國立傳統藝術中心,"24°41'11.87"",121°49'30.18""",宜蘭縣,五結鄉,"24.686639, 121.825056",宜蘭縣五結鄉五濱路二段201號
432,羅東林業文化園區(羅東林場),"24°41'3.59"",121°46'20.50"" ",宜蘭縣,羅東鎮,"24.684333, 121.772361",宜蘭縣羅東鎮中正北路118號
433,羅東夜市,"24°40'37.24"",121°46'4.69""",宜蘭縣,羅東鎮,"24.677000, 121.767972",宜蘭縣羅東鎮民生路、民權路、公園
434,冬山河生態綠舟,"24°38'18.10"",121°47'16.55""",宜蘭縣,冬山鄉,"24.638361, 121.787944",宜蘭縣冬山鄉太和村冬山路二段172號
435,宜蘭冷泉賞桐之旅,　
436,仁山植物園 ,"24°37'31.48"",121°45'30.82""",宜蘭縣,冬山鄉,"24.625417, 121.758556",宜蘭縣冬山鄉中山村新寮路500號
437,南方澳漁港,"24°35'7.19"",121°52'18.88""",宜蘭縣,蘇澳鎮,"24.585333, 121.871917",宜蘭縣蘇澳鎮漁港路
